[00:00:00.000 --> 00:00:26.000]   [ Silence ]
[00:09:35.000 --> 00:09:39.000]   that the software industry was becoming a big part
[00:09:39.000 --> 00:09:43.000]   of their economy, decided to change the copyright act
[00:09:43.000 --> 00:09:47.000]   in order to include software among protected works.
[00:09:47.000 --> 00:09:54.000]   But still there was the perception that the software was
[00:09:54.000 --> 00:09:57.000]   a specific type of literary work.
[00:09:57.000 --> 00:10:07.000]   And so it needed some more different kind of limitations
[00:10:07.000 --> 00:10:12.000]   to the exclusive rule, to the exclusive right of authors
[00:10:12.000 --> 00:10:23.000]   in order to make the software industry economically available.
[00:10:23.000 --> 00:10:30.000]   I don't know whether I told you but there was a huge debate
[00:10:30.000 --> 00:10:39.000]   in the US because many of the more prominent legal scholars
[00:10:39.000 --> 00:10:44.000]   believed that copyright was not a suitable tool
[00:10:44.000 --> 00:10:47.000]   for protecting software.
[00:10:47.000 --> 00:10:52.000]   Given the very nature of software, I told you,
[00:10:52.000 --> 00:10:55.000]   painting is something you enjoy.
[00:10:55.000 --> 00:10:58.000]   A word processing is something you use.
[00:10:58.000 --> 00:11:04.000]   And you get pretty upset if after writing the final sentence
[00:11:04.000 --> 00:11:07.000]   of your long dissertation, you see that the bag
[00:11:07.000 --> 00:11:15.000]   of the word processing makes it crash and lose all your work.
[00:11:15.000 --> 00:11:19.000]   There was a problem of liability, a problem of who's
[00:11:19.000 --> 00:11:23.000]   going to pay the damages of bags.
[00:11:23.000 --> 00:11:25.000]   And the decision of the legislations
[00:11:25.000 --> 00:11:32.000]   was very similar to, I would say, the chapter
[00:11:32.000 --> 00:11:34.000]   of the statistical family you remember.
[00:11:34.000 --> 00:11:37.000]   No liability.
[00:11:37.000 --> 00:11:39.000]   Why no liability?
[00:11:39.000 --> 00:11:42.000]   Because there was the perception that writing software
[00:11:42.000 --> 00:11:44.000]   was error prone.
[00:11:44.000 --> 00:11:48.000]   I mean, bags were inevitable.
[00:11:48.000 --> 00:11:51.000]   Inevitable.
[00:11:51.000 --> 00:11:58.000]   I remember the matrix, the sound of inability.
[00:11:58.000 --> 00:12:11.000]   So who has to bear the economic consequences of software
[00:12:11.000 --> 00:12:13.000]   failures?
[00:12:13.000 --> 00:12:15.000]   Well, as we understand, there are situations
[00:12:15.000 --> 00:12:26.000]   where software failure is not-- how can I say-- allowed.
[00:12:26.000 --> 00:12:31.000]   Think about the machinery run by a piece of software that
[00:12:31.000 --> 00:12:40.000]   keeps you alive because it helps the circulation of your blood.
[00:12:40.000 --> 00:12:43.000]   It's not possible to have that software fail
[00:12:43.000 --> 00:12:48.000]   because failure of software means that you're going to die.
[00:12:48.000 --> 00:12:51.000]   So software in mission critical situations,
[00:12:51.000 --> 00:12:57.000]   as you may understand, is subject to different rules.
[00:12:57.000 --> 00:13:00.000]   But those rules are not imposed by the law.
[00:13:00.000 --> 00:13:08.000]   They are just the result of agreements between parties.
[00:13:08.000 --> 00:13:11.000]   And we will see that this is true in proprietary software.
[00:13:11.000 --> 00:13:15.000]   This is true in free software.
[00:13:15.000 --> 00:13:21.000]   Software comes with a very strong limitation of liability.
[00:13:21.000 --> 00:13:25.000]   That's the fourth rule.
[00:13:25.000 --> 00:13:28.000]   And that's the fourth rule that is made
[00:13:28.000 --> 00:13:32.000]   possible by the legal system.
[00:13:32.000 --> 00:13:37.000]   So if you want a warranty, if you want to-- you
[00:13:37.000 --> 00:13:40.000]   need to pay extra money.
[00:13:40.000 --> 00:13:46.000]   So you can understand that by letting software coders,
[00:13:46.000 --> 00:13:55.000]   software writers, or sellers, or producers to be-- how can I
[00:13:55.000 --> 00:14:07.000]   say-- to feel free to write every piece of-- I would like
[00:14:07.000 --> 00:14:14.000]   to say the word shit, but you know what I mean.
[00:14:14.000 --> 00:14:21.000]   If you want them to be free to don't care about bugs and stuff
[00:14:21.000 --> 00:14:28.000]   like that, you just let them waive their liability.
[00:14:28.000 --> 00:14:32.000]   Did you ever read the end users license agreement
[00:14:32.000 --> 00:14:38.000]   about the Microsoft operating system or the Microsoft world
[00:14:38.000 --> 00:14:40.000]   or office suite?
[00:14:40.000 --> 00:14:43.000]   I don't know how they call it anymore.
[00:14:43.000 --> 00:14:47.000]   Well, have a read it, because it's quite interesting.
[00:14:47.000 --> 00:14:51.000]   You will see that the very same wording is used in free software.
[00:14:51.000 --> 00:14:54.000]   But at least you know that free software is something
[00:14:54.000 --> 00:14:57.000]   you usually do not pay for.
[00:14:57.000 --> 00:14:59.000]   And when you pay for it, usually you
[00:14:59.000 --> 00:15:05.000]   pay because you want a warranty in case a software failure.
[00:15:05.000 --> 00:15:08.000]   And that's basically the business model
[00:15:08.000 --> 00:15:12.000]   behind the free and open source software.
[00:15:12.000 --> 00:15:19.000]   There is no such possibility in the proprietary software
[00:15:19.000 --> 00:15:28.000]   industry, because it's not mandated by the law.
[00:15:28.000 --> 00:15:35.000]   And software houses have very high contracting power
[00:15:35.000 --> 00:15:40.000]   compared to your contracting power.
[00:15:40.000 --> 00:15:55.000]   Try to ask Microsoft a warranty for every crash
[00:15:55.000 --> 00:16:05.000]   your computer may experience by running a Microsoft operating
[00:16:05.000 --> 00:16:06.000]   system.
[00:16:06.000 --> 00:16:10.000]   I don't know whether that's not true any longer.
[00:16:10.000 --> 00:16:16.000]   I stopped using Microsoft stuff, well, almost 30 years ago.
[00:16:16.000 --> 00:16:22.000]   I remember at that time we called it the blue screen of death.
[00:16:22.000 --> 00:16:27.000]   Sometimes a blue screen appears, saying that you have to press
[00:16:27.000 --> 00:16:28.000]   Control-Alt-Delete.
[00:16:28.000 --> 00:16:40.000]   It's not made experience any longer.
[00:16:40.000 --> 00:16:47.000]   By Control-Alt-Delete, a combination of keys does nothing.
[00:16:47.000 --> 00:16:59.000]   Anyway, you remember still there are limitations
[00:16:59.000 --> 00:17:03.000]   we must take into account given the practical nature
[00:17:03.000 --> 00:17:07.000]   of software uses.
[00:17:07.000 --> 00:17:13.000]   Translation, backup copy, adaptation.
[00:17:13.000 --> 00:17:20.000]   Well, those are quite interesting and nice principles.
[00:17:20.000 --> 00:17:23.000]   But they are just principles.
[00:17:23.000 --> 00:17:28.000]   Well, no, the backup copy can be done, or at least it
[00:17:28.000 --> 00:17:29.000]   could be done.
[00:17:29.000 --> 00:17:31.000]   Probably right now when you buy the software
[00:17:31.000 --> 00:17:35.000]   and you download it from somewhere,
[00:17:35.000 --> 00:17:39.000]   well, there is no need of the backup copy any longer,
[00:17:39.000 --> 00:17:45.000]   because if the software gets corrupted or your hard drive
[00:17:45.000 --> 00:17:49.000]   fries up, you probably should be able-- I don't know,
[00:17:49.000 --> 00:17:51.000]   I'm not sure about it-- but you probably
[00:17:51.000 --> 00:17:56.000]   should be able to obtain another copy since you
[00:17:56.000 --> 00:18:01.000]   paid for the first one and the first one is gone.
[00:18:01.000 --> 00:18:06.000]   So in 1980, when the US Congress adopted the rule
[00:18:06.000 --> 00:18:11.000]   that the user is allowed to make a backup copy regardless
[00:18:11.000 --> 00:18:16.000]   of the author's consent, that was due to the fact
[00:18:16.000 --> 00:18:19.000]   that at that time, software was distributed
[00:18:19.000 --> 00:18:25.000]   with material media that could be corrupted,
[00:18:25.000 --> 00:18:33.000]   tapes, floppy disks, CD-ROM, hard drive, and stuff like that.
[00:18:33.000 --> 00:18:41.000]   At some point, we started to think that our technology was
[00:18:41.000 --> 00:18:47.000]   developing so well that the persistence of data
[00:18:47.000 --> 00:18:51.000]   on those type of medium was going to last forever.
[00:18:51.000 --> 00:18:58.000]   Did you ever try to use a CD-ROM you burned wide 10,
[00:18:58.000 --> 00:19:00.000]   15 years ago?
[00:19:00.000 --> 00:19:04.000]   No, 10, 15 years ago.
[00:19:04.000 --> 00:19:06.000]   Were you successful?
[00:19:06.000 --> 00:19:21.000]   I have a huge container of those CD-ROMs
[00:19:21.000 --> 00:19:26.000]   I should be just throwing away or using them for decorating
[00:19:26.000 --> 00:19:29.000]   my Christmas tree.
[00:19:29.000 --> 00:19:35.000]   I don't like Christmas trees, so we just threw them away.
[00:19:35.000 --> 00:19:38.000]   The possibility that that software for personal need,
[00:19:38.000 --> 00:19:41.000]   that's very nice.
[00:19:41.000 --> 00:19:43.000]   It's really very nice.
[00:19:43.000 --> 00:19:47.000]   But as long as you start giving protection
[00:19:47.000 --> 00:19:53.000]   to computer programs in binary object code,
[00:19:53.000 --> 00:19:58.000]   is it really possible to exercise this right?
[00:19:58.000 --> 00:20:03.000]   Would you be able to implement well?
[00:20:03.000 --> 00:20:07.000]   Right now, software comes to a certain degree
[00:20:07.000 --> 00:20:19.000]   of modularity and composability and configurability.
[00:20:19.000 --> 00:20:25.000]   I'm not really familiar with the script
[00:20:25.000 --> 00:20:29.000]   in language you may be using with word processing
[00:20:29.000 --> 00:20:32.000]   for Microsoft.
[00:20:32.000 --> 00:20:42.000]   I've done something with LibreOffice.
[00:20:42.000 --> 00:20:48.000]   It's pretty amazing because basically the main way
[00:20:48.000 --> 00:20:53.000]   to code for LibreOffice is writing basic code, which
[00:20:53.000 --> 00:20:59.000]   reminds me of my youth when I was very young, 11, 12 years old,
[00:20:59.000 --> 00:21:05.000]   and I was writing this piece of basic code on a piece of paper
[00:21:05.000 --> 00:21:10.000]   in order to go over to my friend in the afternoon
[00:21:10.000 --> 00:21:12.000]   and write and run the program.
[00:21:18.000 --> 00:21:24.000]   LibreOffice basic sucks as basic used to suck.
[00:21:24.000 --> 00:21:31.000]   Anyway, unfortunately now it is possible to code
[00:21:31.000 --> 00:21:41.000]   for LibreOffice in Python, which is a nicer programming language.
[00:21:41.000 --> 00:21:43.000]   I don't know whether you use it.
[00:21:43.000 --> 00:21:45.000]   I don't like it very much, actually,
[00:21:45.000 --> 00:21:50.000]   but I don't like object-oriented programming.
[00:21:50.000 --> 00:21:55.000]   Python has a very nice function of features.
[00:21:55.000 --> 00:21:58.000]   So I don't know still if you can use
[00:21:58.000 --> 00:22:01.000]   Python to code for Microsoft.
[00:22:01.000 --> 00:22:03.000]   Could you?
[00:22:03.000 --> 00:22:04.000]   Could you?
[00:22:04.000 --> 00:22:06.000]   Yeah, is it possible?
[00:22:06.000 --> 00:22:10.000]   With the last integration of Excel, you can write code.
[00:22:10.000 --> 00:22:16.000]   In Excel, but also in Word, the Word processor.
[00:22:16.000 --> 00:22:17.000]   I don't know.
[00:22:17.000 --> 00:22:18.000]   Yes.
[00:22:18.000 --> 00:22:20.000]   Yes, possible.
[00:22:20.000 --> 00:22:23.000]   Because for instance, my daughter,
[00:22:23.000 --> 00:22:27.000]   she studied ancient Greek.
[00:22:27.000 --> 00:22:29.000]   And you know, ancient Greek is a mess
[00:22:29.000 --> 00:22:34.000]   because it is called polytonic Greek.
[00:22:34.000 --> 00:22:41.000]   And you may have three different diatrices, as they call it,
[00:22:41.000 --> 00:22:43.000]   over a single letter.
[00:22:43.000 --> 00:22:47.000]   Writing them is a real mess.
[00:22:47.000 --> 00:22:53.000]   And so I was not able to find a way to do that in Word
[00:22:53.000 --> 00:23:00.000]   while instead by using Python in LibreOffice,
[00:23:00.000 --> 00:23:07.000]   the Java was pretty trivial anyway.
[00:23:07.000 --> 00:23:10.000]   So yeah, a possibility to adapt it,
[00:23:10.000 --> 00:23:12.000]   but usually the possibility to adapt it
[00:23:12.000 --> 00:23:18.000]   is confined within the boundaries decided by the coders.
[00:23:18.000 --> 00:23:22.000]   Unfortunately, you know, modularity,
[00:23:22.000 --> 00:23:33.000]   the fact that most of the programs have included now
[00:23:33.000 --> 00:23:38.000]   an interpreter of a high-level programming language like Python,
[00:23:38.000 --> 00:23:45.000]   Lua, that's a nice programming language.
[00:23:45.000 --> 00:23:47.000]   I like it.
[00:23:47.000 --> 00:23:53.000]   Too object-oriented for my taste, but you know, I like it.
[00:23:53.000 --> 00:23:59.000]   Lua can be easily integrated in any piece of software.
[00:23:59.000 --> 00:24:06.000]   JavaScript, JavaScript is a wonderful programming language,
[00:24:06.000 --> 00:24:10.000]   even though the best one is ASCII, believe me.
[00:24:10.000 --> 00:24:14.000]   There is nothing like ASCII.
[00:24:14.000 --> 00:24:22.000]   So what's written in title 17, paragraph 117,
[00:24:22.000 --> 00:24:39.000]   are just nice words that do not have a very strong possibility
[00:24:39.000 --> 00:24:42.000]   of enforcement.
[00:24:42.000 --> 00:24:46.000]   Anyway, that's the situation.
[00:24:46.000 --> 00:24:52.000]   I'm sorry because now I'm showing you those slides.
[00:24:52.000 --> 00:24:55.000]   I'm sorry, I forgot to--
[00:24:55.000 --> 00:24:58.000]   because I wrote the Italian slide for that part,
[00:24:58.000 --> 00:25:03.000]   but I didn't translate it into English.
[00:25:03.000 --> 00:25:06.000]   I will show you.
[00:25:06.000 --> 00:25:08.000]   I find it.
[00:25:08.000 --> 00:25:36.000]   [ Pause ]
[00:25:36.000 --> 00:26:05.000]   [ Pause ]
[00:26:05.000 --> 00:26:09.000]   Oh, sorry.
[00:26:09.000 --> 00:26:13.000]   I locked with a--
[00:26:13.000 --> 00:26:26.000]   [ Pause ]
[00:26:26.000 --> 00:26:38.000]   Did you see that?
[00:26:38.000 --> 00:26:57.000]   Give me just one second.
[00:26:57.000 --> 00:27:26.000]   [ Pause ]
[00:27:26.000 --> 00:27:48.000]   [ Pause ]
[00:27:48.000 --> 00:28:03.000]   Oh, I don't find it.
[00:28:03.000 --> 00:28:14.000]   Why?
[00:28:14.000 --> 00:28:25.000]   Okay, anyway.
[00:28:25.000 --> 00:28:35.000]   Sorry, a couple of days, I'm just losing my stuff.
[00:28:35.000 --> 00:28:45.000]   Let's do it like this.
[00:28:45.000 --> 00:29:04.000]   [ Pause ]
[00:29:04.000 --> 00:29:14.000]   [ Pause ]
[00:29:14.000 --> 00:29:19.000]   No, I didn't--
[00:29:19.000 --> 00:29:21.000]   I'm really sorry.
[00:29:21.000 --> 00:29:29.000]   I did, after all, have locked the right slide.
[00:29:29.000 --> 00:29:35.000]   What is it, Bob?
[00:29:35.000 --> 00:29:37.000]   Sorry.
[00:29:37.000 --> 00:29:49.000]   I'm really tired and my cold is still present and sorry, sorry.
[00:29:49.000 --> 00:29:55.000]   So, forget what I said, okay?
[00:29:55.000 --> 00:29:59.000]   This is the right slide.
[00:29:59.000 --> 00:30:00.000]   What's the problem?
[00:30:00.000 --> 00:30:07.000]   The problem was that the European Union adopted a--
[00:30:07.000 --> 00:30:13.000]   Directly on the legal protection of computer program, which was very--
[00:30:13.000 --> 00:30:25.000]   Was basically based on the result of the Compt Commission, which led in the US to the adoption of the--
[00:30:25.000 --> 00:30:27.000]   What was the name?
[00:30:27.000 --> 00:30:33.000]   The Computer Software Copyright Act of 1980, okay?
[00:30:33.000 --> 00:30:39.000]   The commission adopted that directive in 1991.
[00:30:39.000 --> 00:30:49.000]   And I didn't remember that before in my slides about the legal protection of software.
[00:30:49.000 --> 00:30:54.000]   In Europe, I was using that directive.
[00:30:54.000 --> 00:31:05.000]   But that directive was later changed by a new directive, 2009 number 24, okay?
[00:31:05.000 --> 00:31:09.000]   The wording is the same, everything is the same.
[00:31:09.000 --> 00:31:13.000]   I didn't understand why they wanted to adopt a new directive.
[00:31:13.000 --> 00:31:23.000]   Anyway, I forgot that I already updated my slide in order to take into account that new directive, okay?
[00:31:23.000 --> 00:31:27.000]   So, that was my mistake, sorry.
[00:31:27.000 --> 00:31:32.000]   So, let's go back.
[00:31:32.000 --> 00:31:45.000]   So, the United States were the first one to adopt a new specific legislation for extending copyright to computer programs.
[00:31:45.000 --> 00:31:48.000]   And that took place in two steps.
[00:31:48.000 --> 00:31:58.000]   The first one was the '76 New Copyright Act, which extended the notion of copy.
[00:31:58.000 --> 00:32:25.000]   And the second step was the adoption of Section 117 of the Title 17 of the S Code to set further limitations on the extension of the exclusive right in regard to computer programs.
[00:32:25.000 --> 00:32:28.000]   So, the United States were the first one in the world.
[00:32:28.000 --> 00:32:30.000]   Why?
[00:32:30.000 --> 00:32:40.000]   Well, because they were a couple of steps ahead in respect to every other country in the world.
[00:32:40.000 --> 00:32:55.000]   And if we look at two or three other countries that adopted early legislation to protect software with copyright,
[00:32:55.000 --> 00:33:04.000]   you will see that those countries are countries with a highly developed hardware industry.
[00:33:04.000 --> 00:33:23.000]   France and UK in Europe.
[00:33:23.000 --> 00:33:27.000]   And the third one was Japan.
[00:33:27.000 --> 00:33:42.000]   I remember Japan adopted the legislation on the protection of computer programs in 1885 too.
[00:33:42.000 --> 00:33:45.000]   Let's stick with the European Union, okay?
[00:33:45.000 --> 00:33:52.000]   So, we have France and the UK adopting a legislation.
[00:33:52.000 --> 00:34:02.000]   And even though Italy was quite advanced in the production of computers, you remember Olivetti?
[00:34:02.000 --> 00:34:04.000]   It's Italian.
[00:34:04.000 --> 00:34:07.000]   Olivetti was one of the first to produce a personal computer.
[00:34:07.000 --> 00:34:09.000]   It was very competitive.
[00:34:09.000 --> 00:34:15.000]   Then, you know, it was destroyed by, it doesn't matter what.
[00:34:15.000 --> 00:34:22.000]   Anyway, the fact that two different European countries added two different legislations for computer programs
[00:34:22.000 --> 00:34:24.000]   led to a mess.
[00:34:24.000 --> 00:34:28.000]   And you know, one of the major objectives of the European Union,
[00:34:28.000 --> 00:34:35.000]   well, at that time it was not called European Union, it was called the European Economic Communities.
[00:34:35.000 --> 00:34:39.000]   But, you know, let me refer to the Union, okay?
[00:34:39.000 --> 00:34:46.000]   The fact that we added two different legislations made a common internal market very difficult
[00:34:46.000 --> 00:34:54.000]   because, you know, the rules applied in the UK were different from the rules applied in France.
[00:34:54.000 --> 00:35:03.000]   Well, today it wouldn't matter since the UK is no longer part of the European Union.
[00:35:03.000 --> 00:35:06.000]   And we like that new situation actually.
[00:35:06.000 --> 00:35:13.000]   But at that time, being the UK is still part of the European Union,
[00:35:13.000 --> 00:35:22.000]   and since the other countries were, you know, getting the press from the economic environment
[00:35:22.000 --> 00:35:27.000]   to adopt legislation for protecting computer programs,
[00:35:27.000 --> 00:35:37.000]   and that's funny, you know, but one of the major forces pushing for new legislation,
[00:35:37.000 --> 00:35:43.000]   it was not a word processor or an operating system.
[00:35:43.000 --> 00:35:46.000]   You know what it was.
[00:35:46.000 --> 00:35:50.000]   Fratiguise.
[00:35:55.000 --> 00:35:59.000]   Video games. Video games.
[00:35:59.000 --> 00:36:07.000]   One of the first Italian court decisions about the legal status of computer programs
[00:36:07.000 --> 00:36:10.000]   was a case about video games.
[00:36:10.000 --> 00:36:21.000]   There was a foreign, a software house producing one of those stupid, you know, Mario Bros style video games,
[00:36:21.000 --> 00:36:24.000]   arcade I think they call it,
[00:36:24.000 --> 00:36:31.000]   and an Italian software house made legal copies,
[00:36:31.000 --> 00:36:36.000]   and they started signing it since, you know, there was no rule.
[00:36:36.000 --> 00:36:44.000]   But the real producer got upset and so decided to bring the case to court,
[00:36:44.000 --> 00:36:54.000]   and the court was very, you know, very puzzled,
[00:36:54.000 --> 00:37:06.000]   because the usual idea was that a computer program was like a scientific work,
[00:37:06.000 --> 00:37:16.000]   like a textbook or something like that, that you use to perform or to get knowledge better,
[00:37:16.000 --> 00:37:20.000]   since you're a student, you know what you're using textbook for,
[00:37:20.000 --> 00:37:28.000]   for performing possibly well during an examination.
[00:37:28.000 --> 00:37:32.000]   So for you, textbook has a practical use.
[00:37:34.000 --> 00:37:42.000]   And so that court was facing a computer program
[00:37:42.000 --> 00:37:48.000]   that was conceived as a scientific piece of work,
[00:37:48.000 --> 00:37:52.000]   but that computer program was used for creating a video game.
[00:37:52.000 --> 00:37:55.000]   Sure.
[00:37:55.000 --> 00:37:58.000]   Sorry, are we speaking about Italian court or?
[00:37:58.000 --> 00:38:00.000]   Italian court.
[00:38:00.000 --> 00:38:05.000]   So this is an Italian court decision as far as I remember,
[00:38:05.000 --> 00:38:10.000]   it was adopted at the end of the 80s, beginning of the 90s,
[00:38:10.000 --> 00:38:17.000]   before the adoption of the European directive on the legal protection of software.
[00:38:17.000 --> 00:38:26.000]   So keep in mind, UK, France had their own legislation.
[00:38:26.000 --> 00:38:28.000]   Italy did not.
[00:38:28.000 --> 00:38:35.000]   And unfortunately, I don't know, the only way to give protection to a computer program
[00:38:35.000 --> 00:38:39.000]   was to use the general principle of the Berne Convention.
[00:38:39.000 --> 00:38:51.000]   Any work of an artistic nature is protected by, or scientific nature,
