Part 1

[00:00:00.000 --> 00:00:07.000]   [ Silence ]
[00:13:01.000 --> 00:13:04.000]   The only thing that is written in the law is that
[00:13:04.000 --> 00:13:07.000]   if you have a stable relationship which
[00:13:07.000 --> 00:13:11.000]   is called the master and servant, employer, employee,
[00:13:11.000 --> 00:13:17.000]   then the general rule is article 2, letter, section 3
[00:13:17.000 --> 00:13:19.000]   of the European directive.
[00:13:19.000 --> 00:13:27.000]   I don't know whether you are satisfied with my answer.
[00:13:27.000 --> 00:13:30.000]   I still have a couple of doubts but I'll ask later.
[00:13:30.000 --> 00:13:32.000]   Well, no, probably that's it.
[00:13:32.000 --> 00:13:35.000]   I don't know, that may be interesting for everyone.
[00:13:35.000 --> 00:13:39.000]   The first thing is, let's suppose I am an employee
[00:13:39.000 --> 00:13:44.000]   for a company and I am writing a program for this company
[00:13:44.000 --> 00:13:49.000]   but I'm also writing the same program but in my free time,
[00:13:49.000 --> 00:13:55.000]   anonymizing all of the, for example, API keys and things like that.
[00:13:55.000 --> 00:13:58.000]   It's the exact same program but in my free time
[00:13:58.000 --> 00:14:02.000]   and without any company resources, would that be mine
[00:14:02.000 --> 00:14:04.000]   or would that belong to the company?
[00:14:04.000 --> 00:14:08.000]   Well, that's a difficult situation because probably
[00:14:08.000 --> 00:14:11.000]   you are branching your neighbour contract.
[00:14:11.000 --> 00:14:16.000]   That is to say, usually when you sign a contract,
[00:14:16.000 --> 00:14:21.000]   a master and servant relationship, you are also
[00:14:21.000 --> 00:14:29.000]   assuming the obligation not to compete with your employer.
[00:14:29.000 --> 00:14:35.000]   In your case, in the example you made, instead you are competing
[00:14:35.000 --> 00:14:41.000]   and you are also cheating actually because you are trying to,
[00:14:41.000 --> 00:14:50.000]   you know, use the same job to get paid twice
[00:14:50.000 --> 00:14:54.000]   and usually that's covered by the contract.
[00:14:54.000 --> 00:15:02.000]   So, you won't be finding any specific regulation
[00:15:02.000 --> 00:15:05.000]   in the legal system that allows you to do that
[00:15:05.000 --> 00:15:12.000]   but usually there are contractual clauses that prohibit you to do that.
[00:15:12.000 --> 00:15:17.000]   But that depends on the contract and the contract, you know,
[00:15:17.000 --> 00:15:25.000]   is written by private entities, private parties, so that's it.
[00:15:25.000 --> 00:15:28.000]   Is it fine?
[00:15:28.000 --> 00:15:36.000]   What about the same example but after that I am away from the company?
[00:15:36.000 --> 00:15:41.000]   Like I am no longer an employee for the same company?
[00:15:41.000 --> 00:15:52.000]   Well, that's an interesting point because usually when you get fired
[00:15:52.000 --> 00:15:59.000]   or you decide not to work for a company any longer,
[00:15:59.000 --> 00:16:05.000]   usually you will be asked to sign a disclosure agreement
[00:16:05.000 --> 00:16:11.000]   so that you will prohibit it from competing with your former employee
[00:16:11.000 --> 00:16:16.000]   for a given period of time, usually it's five years.
[00:16:16.000 --> 00:16:21.000]   So that would be a breach of the no disclosure agreement
[00:16:21.000 --> 00:16:26.000]   you signed with your previous employer.
[00:16:26.000 --> 00:16:35.000]   But once again, we do have a general rule in Italy
[00:16:35.000 --> 00:16:43.000]   according to which after stopping to work with a given employer,
[00:16:43.000 --> 00:16:52.000]   you are still obliged to keep secret what you learned with your employer
[00:16:52.000 --> 00:16:58.000]   and not to compete with him for a given period of time.
[00:16:58.000 --> 00:17:04.000]   As far as I remember, the court decisions in interpreting the rule
[00:17:04.000 --> 00:17:10.000]   said that the maximum amount of time you are not allowed to compete
[00:17:10.000 --> 00:17:15.000]   is five years, after that you are free.
[00:17:15.000 --> 00:17:24.000]   I have a friend, he's not a coder but he's a very specified technician,
[00:17:24.000 --> 00:17:29.000]   machinery staff, very complicated staff.
[00:17:29.000 --> 00:17:36.000]   He decided to quit the job he was doing but before quitting
[00:17:36.000 --> 00:17:41.000]   he was required to sign a disclosure agreement
[00:17:41.000 --> 00:17:48.000]   and a competition agreement that lasted, as far as I remember, three years.
[00:17:48.000 --> 00:17:54.000]   So he could not work in the same industry for three years
[00:17:54.000 --> 00:17:58.000]   and he had to leave and go abroad in order to do so
[00:17:58.000 --> 00:18:04.000]   because that contract was not a line of road.
[00:18:04.000 --> 00:18:06.000]   Is it fine?
[00:18:06.000 --> 00:18:12.000]   But at the same time, if you try to reuse the code you previously wrote at the company
[00:18:12.000 --> 00:18:16.000]   and then you left, wouldn't the Regus Empereus sue you
[00:18:16.000 --> 00:18:19.000]   because you're using a code that's in the organization?
[00:18:19.000 --> 00:18:26.000]   Definitely, because according to section three of paragraph two,
[00:18:26.000 --> 00:18:31.000]   if you do not have an exception in your contract,
[00:18:31.000 --> 00:18:35.000]   you're bound by that rules so that every piece of code you write
[00:18:35.000 --> 00:18:41.000]   is not yours, it belongs to the employer.
[00:18:41.000 --> 00:18:48.000]   So if you're reusing that code, you're basically stealing.
[00:18:48.000 --> 00:18:51.000]   It's not stealing, it is copyright infringement.
[00:18:51.000 --> 00:18:57.000]   But they are infringing copyright of your former employee, yes.
[00:18:57.000 --> 00:19:00.000]   And there is no way out.
[00:19:00.000 --> 00:19:11.000]   If you plan to do something like that, you must be sure to write it in the contract
[00:19:11.000 --> 00:19:17.000]   at the very beginning of your working for the lawyer.
[00:19:17.000 --> 00:19:27.000]   That's the only way because the legal rules are pretty strict, so it's not allowed.
[00:19:27.000 --> 00:19:33.000]   So unless you have a specific contract that allows you to do that,
[00:19:33.000 --> 00:19:42.000]   and there is no way out, so you need a contract specifying that you have the right to do that.
[00:19:42.000 --> 00:19:52.000]   I don't get whether this non-disclosure agreement covers what you learned in the company
[00:19:52.000 --> 00:19:56.000]   like a patent does or like a copyright does.
[00:19:56.000 --> 00:20:04.000]   It covers the ideas, the concepts, the techniques that you learned in a company
[00:20:04.000 --> 00:20:06.000]   or the way those are applied.
[00:20:06.000 --> 00:20:14.000]   Well, that's an even more complicated question I will try to answer.
[00:20:14.000 --> 00:20:24.000]   First you need to remember that you are not allowed to patent something
[00:20:24.000 --> 00:20:30.000]   if that something has been disclosed.
[00:20:30.000 --> 00:20:40.000]   Outside the boundaries of another research group that is working on the invention,
[00:20:40.000 --> 00:20:47.000]   you have to file for the patent before any disclosure.
[00:20:47.000 --> 00:20:54.000]   That's an issue in the software industry as we will see right now talking about free software.
[00:20:54.000 --> 00:21:01.000]   Because that means that if someone asks you something about what you are doing
[00:21:01.000 --> 00:21:10.000]   and what you are doing is something that could be patentable, but not yet patented,
[00:21:10.000 --> 00:21:18.000]   if you disclose you lose the possibility to get a patent.
[00:21:18.000 --> 00:21:26.000]   That's the legal regulation of patents.
[00:21:26.000 --> 00:21:36.000]   The other problem I think you were rising is whether do the disclosure agreement covers
[00:21:36.000 --> 00:21:45.000]   what you have been learning during your working for your employee.
[00:21:45.000 --> 00:21:46.000]   Is that correct?
[00:21:46.000 --> 00:21:47.000]   Yes.
[00:21:47.000 --> 00:21:52.000]   That depends on the disclosure agreement.
[00:21:52.000 --> 00:21:58.000]   There are disclosure agreements that are very, very strict
[00:21:58.000 --> 00:22:06.000]   and do not allow you to discuss anything or to use anything you learn.
[00:22:06.000 --> 00:22:12.000]   But instead there are non-disclosure agreements that are more flexible
[00:22:12.000 --> 00:22:18.000]   and allows you to use the knowledge but not to use the code.
[00:22:18.000 --> 00:22:31.000]   So you may look at those non-disclosure agreements as like a spectrum with different level of liabilities,
[00:22:31.000 --> 00:22:36.000]   different level of possible disclosure and so on and so forth.
[00:22:36.000 --> 00:22:46.000]   It is not possible to judge without reading the contract.
[00:22:46.000 --> 00:22:53.000]   Usually contract law and copyright regulation, patent regulation,
[00:22:53.000 --> 00:23:01.000]   I mean the legal system gives broad powers to the parties.
[00:23:01.000 --> 00:23:03.000]   Why?
[00:23:03.000 --> 00:23:09.000]   Because the legal system is aware, while I'm talking about the legal system as a person,
[00:23:09.000 --> 00:23:18.000]   which is not what I'm trying to say is that rules are aware of the fact that there may be very different situations
[00:23:18.000 --> 00:23:25.000]   and those rules must apply to everyone, every specific situation.
[00:23:25.000 --> 00:23:34.000]   So it's not possible to judge ex ante how strict a non-disclosure agreement is.
[00:23:34.000 --> 00:23:44.000]   Usually Italian judges are more strict in interpreting the power of the employer
[00:23:44.000 --> 00:23:50.000]   in imposing a non-disclosure agreement to their employee.
[00:23:50.000 --> 00:24:01.000]   Instead in the United States there is that principle which is called freedom of contract
[00:24:01.000 --> 00:24:15.000]   according to which the legal system should create the minimum level of limitations.
[00:24:15.000 --> 00:24:26.000]   So usually you will find that in the US the non-disclosure agreement may be far stricter
[00:24:26.000 --> 00:24:31.000]   than a non-disclosure agreement covering the same issue in Italy.
[00:24:31.000 --> 00:24:49.000]   Because in Italy judges will use the concept of your freedom of creating new relationships with other employers
[00:24:49.000 --> 00:24:57.000]   and Italian judges will value that freedom more than the freedom of contract.
[00:24:57.000 --> 00:24:59.000]   But that's the general principle.
[00:24:59.000 --> 00:25:07.000]   Then you have to dig into the specific contract and see what is the specific contract.
[00:25:07.000 --> 00:25:15.000]   For instance, in Italy it would be prohibited to have it or better.
[00:25:15.000 --> 00:25:27.000]   The non-disclosure agreement would be valid if it would be a period of time that is longer than five years.
[00:25:27.000 --> 00:25:38.000]   In the US I'm not an expert but I'm pretty sure that in the US a non-disclosure agreement may last far longer than five years.
[00:25:38.000 --> 00:25:47.000]   So there are details that are different but the rules are basically the same.
[00:25:47.000 --> 00:25:57.000]   But I understand that details are very important and the details can be found only by evaluating the contract
[00:25:57.000 --> 00:26:06.000]   and by evaluating the court decisions.
[00:26:06.000 --> 00:26:09.000]   Other questions?
[00:26:09.000 --> 00:26:12.000]   No?
[00:26:12.000 --> 00:26:19.000]   Interesting questions.
[00:26:19.000 --> 00:26:32.000]   Well, you remember that Article 5 of the European Directing is basically a copy of Section 117 of Title 17 of the US Code.
[00:26:32.000 --> 00:26:40.000]   The copy and some form of adaptation for personal uses of the software.
[00:26:40.000 --> 00:26:43.000]   What's different?
[00:26:43.000 --> 00:26:48.000]   I'm sorry it's Friday afternoon for me too.
[00:26:48.000 --> 00:26:51.000]   I'm reading my... I'm reading.
[00:26:51.000 --> 00:27:01.000]   I'm drinking my tea but it doesn't work very much today.
[00:27:01.000 --> 00:27:06.000]   Article 6 is more interesting.
[00:27:06.000 --> 00:27:09.000]   You see, we read it.
[00:27:09.000 --> 00:27:18.000]   The authorization of the right holders shall not be required where reproduction of the code and translation of its form
[00:27:18.000 --> 00:27:30.000]   within the meaning of points A and B of Article 4.1 are indispensable to obtain the information necessary
[00:27:30.000 --> 00:27:38.000]   to achieve the interoperability of an independently created computer program with other programs
[00:27:38.000 --> 00:27:43.000]   provided that the following conditions are met.
[00:27:43.000 --> 00:27:54.000]   Those acts are performed by the licensees, the licensee or by another person having the right to use a copy of the program
[00:27:54.000 --> 00:28:00.000]   or on their behalf by a person authorized to do so.
[00:28:00.000 --> 00:28:11.000]   The information necessary to achieve the interoperability has not previously been readily available to the person
[00:28:11.000 --> 00:28:14.000]   referred to in point A and C.
[00:28:14.000 --> 00:28:24.000]   Those acts are confined to the parts of the original program which are necessary in order to achieve the interoperability.
[00:28:24.000 --> 00:28:36.000]   I know that my English reading sucks but did you understand what that stuff talks about?
[00:28:36.000 --> 00:28:42.000]   I think you didn't.
[00:28:42.000 --> 00:28:46.000]   So I will give you an example.
[00:28:46.000 --> 00:28:50.000]   You know LibreOffice?
[00:28:50.000 --> 00:28:56.000]   LibreOffice before changing the name was called OpenOffice.
[00:28:56.000 --> 00:28:59.000]   Actually OpenOffice is still there.
[00:28:59.000 --> 00:29:05.000]   And before it was called StarOffice.
[00:29:05.000 --> 00:29:18.000]   StarOffice was the program of a software house based in Germany that at some point decided to release the code
[00:29:18.000 --> 00:29:25.000]   and to make the code open source, free software, call it what you want.
[00:29:25.000 --> 00:29:36.000]   In order to get the contribution by the community.
[00:29:36.000 --> 00:29:47.000]   It was written in C++ which is a whole programming language if you know what I mean.
[00:29:47.000 --> 00:29:52.000]   Sometimes you have to write C++ nonetheless.
[00:29:52.000 --> 00:30:04.000]   Anyway, at that time Microsoft Word was dominating the market of word processing.
[00:30:04.000 --> 00:30:16.000]   And if you wanted to have any success in creating a competitor, you needed to be able to read and write
[00:30:16.000 --> 00:30:27.000]   texts written in the proprietary format developed by Microsoft.
[00:30:27.000 --> 00:30:39.000]   Fortunately that's not true any longer because as you know even Microsoft at some point decided that an open format
[00:30:39.000 --> 00:30:43.000]   was superior to a proprietary format.
[00:30:43.000 --> 00:30:45.000]   Why?
[00:30:45.000 --> 00:30:49.000]   Because of the public administration.
[00:30:49.000 --> 00:31:04.000]   The public administration stores its information in digital form and they want to have a format which is long-living.
[00:31:04.000 --> 00:31:18.000]   They want to be able to read whatever they are writing in 20 years time.
[00:31:18.000 --> 00:31:31.000]   And you need an open format otherwise the close proprietary format you are using belongs to a format which is not longer existent.
[00:31:31.000 --> 00:31:35.000]   You just lost your documents.
[00:31:35.000 --> 00:31:53.000]   So that's the reason why today we have open document which is an XML type of format used by LibreOffice, OpenOffice,
[00:31:53.000 --> 00:31:56.000]   but even by Microsoft Word.
[00:31:56.000 --> 00:32:09.000]   When you have a specific version of XML format by Microsoft, even that one is fully documented.
[00:32:09.000 --> 00:32:21.000]   If you want to write a program that reads documents created with Microsoft Word, you can do that.
[00:32:21.000 --> 00:32:26.000]   I believe that format is a mess actually.
[00:32:26.000 --> 00:32:32.000]   I strongly prefer open document but this is just my taste.
[00:32:32.000 --> 00:32:46.000]   Also because I do not use a Microsoft Word maybe the internal of Microsoft Word requires that type of open format.
[00:32:46.000 --> 00:32:51.000]   I'm not able to judge.
[00:32:51.000 --> 00:33:09.000]   But before open document was created and before Microsoft decided to switch to that open format too,
[00:33:09.000 --> 00:33:23.000]   Microsoft was using a proprietary object code representation of a text document.
[00:33:23.000 --> 00:33:33.000]   Moreover, if you read the end user's license agreement of Microsoft Word,
[00:33:33.000 --> 00:33:39.000]   and I think that is the license agreement you may read today too,
[00:33:39.000 --> 00:33:51.000]   you saw that you were not allowed to decompile or extract information about the proprietary format
[00:33:51.000 --> 00:33:57.000]   Word was using for saving its file.
[00:33:57.000 --> 00:34:21.000]   And if you remember, there are no exceptions related to the compilation in section 117 of title 17 of this EOS code.
[00:34:21.000 --> 00:34:42.000]   So the end user's license agreement of Microsoft Word was binding in the US but it is not in the world.
[00:34:42.000 --> 00:34:52.000]   So what happened? What happened was the guy at the Open Source Foundation started Office Foundation,
[00:34:52.000 --> 00:35:01.000]   or I don't remember how they called them when they decided to release the source code.
[00:35:01.000 --> 00:35:12.000]   They were not allowed to decompile, I'm using the word decompile just to give you an example,
[00:35:12.000 --> 00:35:15.000]   it's not a compilation actually, you know.
[00:35:15.000 --> 00:35:28.000]   They were not allowed to reverse, that is better, to reverse engineer the format of Microsoft Word documents
[00:35:28.000 --> 00:35:36.000]   because the end user's license agreement of Word didn't allow them to do.
[00:35:36.000 --> 00:35:49.000]   But that close of the end user's license agreement was not binding in Europe because it was contrary to article 6 of the European directive.
[00:35:49.000 --> 00:35:56.000]   I don't remember, I think it was article 5 of the previous directive but the wording was the same, yes.
[00:35:56.000 --> 00:36:05.000]   How does the end user's agreement applies if I for example send a file to you?
[00:36:05.000 --> 00:36:08.000]   I mean I have signed an agreement with Microsoft for example.
[00:36:08.000 --> 00:36:15.000]   Oh well, reading the file is not enough, I need to read the code of the program writing the file.
[00:36:15.000 --> 00:36:22.000]   I can't reverse engineer the file because I have accepted that end user agreement,
[00:36:22.000 --> 00:36:26.000]   but if I just pass the file to you, you can…
[00:36:26.000 --> 00:36:34.000]   Well, you cannot send me a copy of Word without me signing the license agreement, that would be copyright infringement.
[00:36:34.000 --> 00:36:38.000]   And Microsoft would sue me.
[00:36:38.000 --> 00:36:44.000]   Is there anyone here with Microsoft installed or with Word installed?
[00:36:44.000 --> 00:36:46.000]   Can you search…
[00:36:46.000 --> 00:36:49.000]   I don't have Word installed, I just have it.
[00:36:49.000 --> 00:36:54.000]   So you don't have a copy of the end user's license agreement.
[00:36:54.000 --> 00:36:58.000]   Let me see if I can find it online, so I can read it.
[00:36:58.000 --> 00:37:19.000]   Microsoft Word and blog, let's see, I think this could be the one.
[00:37:19.000 --> 00:37:44.000]   [Silence]
[00:37:44.000 --> 00:37:58.000]   [Silence]
[00:37:58.000 --> 00:38:00.000]   Can you read it?
[00:38:00.000 --> 00:38:06.000]   Limitations on reverse engineering, the compilation and disassembly.
[00:38:06.000 --> 00:38:24.000]   You may not reverse engineer the compiled or disassembled software except and only to be extended that such activity is expressly permitted by applicable law notwithstanding these limitations.
[00:38:24.000 --> 00:38:27.000]   Is that clear?
[00:38:27.000 --> 00:38:45.000]   In the US, that activity is not permitted by applicable law.
[00:38:45.000 --> 00:38:56.000]   But Article 6 of the European Directive expressly permitted that activity.
[00:38:56.000 --> 00:39:01.000]   And Microsoft knows that.
[00:39:01.000 --> 00:39:14.000]   This is the reason why they wrote to the extent that such activity is expressly permitted by applicable law notwithstanding these limitations.
[00:39:14.000 --> 00:39:33.000]   Because the right holder shall not be required.
[00:39:33.000 --> 00:39:38.000]   Not withstanding these limitations.
[00:39:38.000 --> 00:39:43.000]   So is it clear?
[00:39:43.000 --> 00:39:50.000]   The end user's license agreement doesn't allow you to reverse engineer the software.
[00:39:50.000 --> 00:40:03.000]   And I mean reverse engineering may also mean that I write a letter on the word processing, I save it and I read what's coming out.
[00:40:03.000 --> 00:40:06.000]   That's reverse engineering.
[00:40:06.000 --> 00:40:08.000]   Very simply.
[00:40:08.000 --> 00:40:18.000]   And so what did the guys of the Open Office Foundation did?
[00:40:18.000 --> 00:40:28.000]   They did to the European guys, listen by a copy of Microsoft Word, reverse engineer.


Part 2


[00:00:00.000 --> 00:00:05.000]   What I call "eckiness" anyway.
[00:00:05.000 --> 00:00:16.000]   Three years in freedom, a paper job at MIT AI artificial intelligence laboratory printer,
