[00:00:00.000 --> 00:00:06.000]   Okay, you should now be able to see my desktop.
[00:19:41.000 --> 00:20:02.000]   That empire was managed with the technologies of that time, very slow communication, very problematic transportation system, and so on and so forth.
[00:20:02.000 --> 00:20:21.000]   So in order to manage such a huge empire with such a huge territory involved was to have a form of government based on rules.
[00:20:21.000 --> 00:20:37.000]   Because, you know, the basic concept of having a set of rules is that the existence of rules makes human behavior predictable.
[00:20:37.000 --> 00:20:55.000]   That is to say, if we have rules, we may have the expectation that individuals or collective entities
[00:20:55.000 --> 00:21:16.000]   will behave in a predictable way because they will be following rules.
[00:21:16.000 --> 00:21:45.000]   And so, so in given circumstances, when a given rule is going to be applied, we have the expectation that individuals will be following that rule and that their behavior can be predicted in the.
[00:21:45.000 --> 00:22:05.000]   So that's the root of our legal tradition. But there is something more because in order to make sure that those rules are being applied, those rules must be written.
[00:22:05.000 --> 00:22:29.000]   And that's very important factor. And that's quite an interesting development of our perception of the legal system. If we go back to history, and we try to capture the first appearance of legal rules.
[00:22:29.000 --> 00:22:43.000]   Probably we would, we wouldn't be able to read those rules, because those rules were at first created in a very informal way.
[00:22:43.000 --> 00:23:09.000]   The very first appearance of a legal rule is by, you know, a constant repetition of a given behavior when some circumstances are present.
[00:23:09.000 --> 00:23:21.000]   So, if lawyers are trying to find the roots of, for instance, something like rules are related to legal obligations.
[00:23:21.000 --> 00:23:29.000]   Well, we are going back to, you know, variation times.
[00:23:29.000 --> 00:23:44.000]   We believe that rules pertaining obligations, like contracts, were created in order to make, yes, were created in order to make human behavior predictable.
[00:23:44.000 --> 00:23:47.000]   So I'm going to see whether there are questions.
[00:23:47.000 --> 00:23:56.000]   Sorry if I check is, is everything fine. You can hear me. Can you understand my English.
[00:23:56.000 --> 00:24:00.000]   Everything is clear.
[00:24:00.000 --> 00:24:05.000]   Okay, thank you. Thank you. Thank you very much. Sorry but I need.
[00:24:05.000 --> 00:24:18.000]   I need some confirmations is since I'm not staring at your faces and so I, I'm just talking to my computer and thank you very much.
[00:24:18.000 --> 00:24:28.000]   So,
[00:24:28.000 --> 00:24:38.000]   I was talking about the origins of rules related to legal obligations.
[00:24:38.000 --> 00:25:06.000]   They were meant to make the individual behavior predictable, and probably we can imagine that those rules were created when the complexity of human societies began to increase to a level where division of labor.
[00:25:06.000 --> 00:25:20.000]   Made it a very basic requirement, the predictions of others behavior.
[00:25:20.000 --> 00:25:24.000]   Think about production of any widget.
[00:25:24.000 --> 00:25:35.000]   I produce a widget by myself by getting the raw material and by assembling it. Well, I don't need to rely on others behaviors.
[00:25:35.000 --> 00:25:46.000]   But if I start putting together a widget, which requires a deco ordination of different individuals in order to achieve the goal.
[00:25:46.000 --> 00:25:54.000]   Then I will have to rely on what other people are doing.
[00:25:54.000 --> 00:26:02.000]   And I want to have the possibility to predict their behavior.
[00:26:02.000 --> 00:26:16.000]   And also the possibility to correct their behavior when their behavior is going to make my behavior my my my enterprise, not working.
[00:26:16.000 --> 00:26:42.000]   If I'm building a bicycle.
[00:26:42.000 --> 00:26:47.000]   The wheels will be created and will be given to me.
[00:26:47.000 --> 00:26:59.000]   And if something goes wrong. I need to have a remedy, because if I'm not able to get the wheels in time for the creation of the bicycle, I won't be able to sell the bicycle.
[00:26:59.000 --> 00:27:27.000]   And I will be wasting my time. So I need to rely on others behavior, but I know Sony I also needed to have a legal remedy to enforce the obligations that others are taken in order to cooperate with me to create something as complex as a bicycle.
[00:27:27.000 --> 00:27:39.000]   Well, think about something more, even more complicated and you get an idea why we need rules related to obligations.
[00:27:39.000 --> 00:27:57.000]   At first, though, we believe that at first those rules were very informal in a primitive society. If someone was not better if someone was breaching the obligation was not fulfilling them.
[00:27:57.000 --> 00:28:07.000]   Well, I could start complaining maybe I could use the violence in order to make that individual complain comply with the obligation.
[00:28:07.000 --> 00:28:19.000]   Or I could refer to some sort of a of an authority in order to have the obligation and forest.
[00:28:19.000 --> 00:28:31.000]   Older people within our small village or community could be asked to enforce the obligation.
[00:28:31.000 --> 00:28:47.000]   And they, at the very beginning, probably they were doing so in a very informal way without referring to a specific, a specific and written rule.
[00:28:47.000 --> 00:28:58.000]   Well, they could refer to general principles like justice or something like that.
[00:28:58.000 --> 00:29:17.000]   I was expecting to receive a wheel for creating my bicycle. I didn't receive it and that's a violation of the principle of justice, because I need to rely on on the wheels to create my bicycle.
[00:29:17.000 --> 00:29:29.000]   At the very beginning in the development of legal rules, we may think that those rules were were not written.
[00:29:29.000 --> 00:29:45.000]   They were just applied by the boss of the village by the elder people of the village by a village council or something like that.
[00:29:45.000 --> 00:30:06.000]   But as the time goes by, we start looking at the new phenomenon that the rules applied tend to be always the same.
[00:30:06.000 --> 00:30:11.000]   And so every decision.
[00:30:11.000 --> 00:30:31.000]   We are now talking about obligation that we could be talking about criminal law, you know, crimes, violence to our southern people that we see that those rules are persistent, persistent over time.
[00:30:31.000 --> 00:30:39.000]   They are always the same.
[00:30:39.000 --> 00:30:52.000]   And so we we can start talking about those rules and we start right. Well, at first we start verbalizing them.
[00:30:52.000 --> 00:31:05.000]   Say that there is a rule when someone is entering a legal relationship with someone else.
[00:31:05.000 --> 00:31:14.000]   And that relationship implies the creation of a widget to be sold to someone else.
[00:31:14.000 --> 00:31:28.000]   And that is not happening. We start talking about the branch of an obligation and the remedy for that branch.
[00:31:28.000 --> 00:31:51.000]   So at first we start talking about the rules that we start saying them because we think of them as something which is persistent over time.
[00:31:51.000 --> 00:32:01.000]   And that leads to the first codification of the law.
[00:32:01.000 --> 00:32:27.000]   As far as I remember, the first Roman codification, which took place while probably in the sixth or fifth century before Christ, the law of the 12 tables, as it is called.
[00:32:27.000 --> 00:32:35.000]   That first codification was not the creation of new rules.
[00:32:35.000 --> 00:32:52.000]   That codification was just the writing of pre-existing rules in order to make those rules more stable.
[00:32:52.000 --> 00:33:10.000]   And think about the Bible and Moses commandments.
[00:33:10.000 --> 00:33:18.000]   They were written, but they were not created. Those rules were not new rules.
[00:33:18.000 --> 00:33:36.000]   Those rules were just the written rules which have been applied for a huge amount of time before.
[00:33:36.000 --> 00:34:02.000]   Another example of written rules are treaties among, well, at that time, especially in Greece, groundwater, what we could call city-states, the polis.
[00:34:02.000 --> 00:34:27.000]   You know, Greek civilization was represented by very small cities, each one with a governing bodies with a set of rules, independent.
[00:34:27.000 --> 00:34:47.000]   And each city was independent from any other cities, even though Greeks were then able to create huge coalitions in order to fight with foreign enemies like the Persian Empire.
[00:34:47.000 --> 00:35:02.000]   Many times there were wars between those cities, and usually the war was ended by an agreement, a treaty, an international treaty.
[00:35:02.000 --> 00:35:25.000]   And usually those treaties were written in stones in order to make them clear and to make it possible for everyone to have knowledge of those treaties.
[00:35:25.000 --> 00:35:37.000]   So the very first written legal rules were not meant to be new rules to solve new problems.
[00:35:37.000 --> 00:36:00.000]   They were just a recognition of pre-existing rules, and writing them down was only meant to make those rules clear and to make it possible to everyone to have knowledge of those rules.
[00:36:00.000 --> 00:36:21.000]   And that perception of legal rules as something which is not created out of the blue, but something that is pre-existing and
[00:36:21.000 --> 00:36:32.000]   has been the central idea within the Western legal tradition for centuries.
[00:36:32.000 --> 00:36:47.000]   Obviously, we had at that time rules which were written down but not created.
[00:36:47.000 --> 00:37:02.000]   But then we started also to see by the governing bodies, the creation of new rules to face and solve new problems.
[00:37:02.000 --> 00:37:18.000]   And that's a very deep change in the development of the Western legal tradition, because if at first we can say that nobody was creating rules,
[00:37:18.000 --> 00:37:38.000]   even though that is not entirely true, because as you may understand, when I'm applying a general principle as justice, as I was telling you before, actually I'm creating the rule.
[00:37:38.000 --> 00:38:04.000]   And I'm using a general concept to solve a very specific problem, a controversy between two individuals, and by drawing from that general principle, a specific rule to say which one of the parties in front of me is right and which one is wrong, actually there is a creation process.
[00:38:04.000 --> 00:38:10.000]   But that creation process was not perceived as creation.
[00:38:10.000 --> 00:38:33.000]   I was just applying, I had the belief that I was just applying a general principle, it was just a matter of interpretation, in order to give to that general principle a meaning which could be then applied to that specific rule.
[00:38:33.000 --> 00:38:49.000]   So I'm not saying that we didn't create rules, we were creating rules, but in a not quotient way.
[00:38:49.000 --> 00:39:10.000]   Instead, when the governing body of the state is creating new written rules to face and solve new problems, well, now the creation process is explicit.
[00:39:10.000 --> 00:39:19.000]   And the legal system changes its nature.
[00:39:19.000 --> 00:39:48.000]   The first one is just, how can I say, the, let me rephrase, the first experience when roots were written down but not created.
[00:39:48.000 --> 00:40:08.000]   In that experience, the legal system is a set of traditional rules, which have been created by the constant application of the same set of principles.
[00:40:08.000 --> 00:40:37.000]   Instead, when a governing body started to create rules to solve new problems, then the legal system is becoming a sort of technology of social coordination of individuals.
[00:40:37.000 --> 00:40:56.000]   Why I'm using the word technology, because the rule creation is maybe seen as a set of tools for shaping human behavior in a very explicit way.
[00:40:56.000 --> 00:41:23.000]   And if we look at the present state of the Western legal tradition, we see that the legal system, perceived as technology, as a technology of social control, is the main character of our perception of the legal system.
[00:41:23.000 --> 00:41:38.000]   Still, I would like you to keep in mind that that was not the entire history of the Western legal tradition.
[00:41:38.000 --> 00:41:56.000]   The legal system as a technological tool for social control is a very recent idea that can be dated back to the Roman tradition.
[00:41:56.000 --> 00:42:23.000]   When the, and especially the empire, during the empire period, when the emperor was using legal rules in order to organize such a huge complex and vast institution like the Roman Empire.
[00:42:23.000 --> 00:42:34.000]   It was the Roman Empire that required a new conception of the legal system.
[00:42:34.000 --> 00:43:03.000]   Not just as an expression of traditionally applied rules, but instead as a tool for shaping individual behavior and coordinating individuals in a very complex organization.
[00:43:03.000 --> 00:43:29.000]   Sorry, I had to check.
[00:43:29.000 --> 00:43:52.000]   Now that, now that the perception within the Western legal tradition of the legal system has changed from
[00:43:52.000 --> 00:44:09.000]   a set of rules, traditionally discovered to a set of rules specifically created to organize a given community.
[00:44:09.000 --> 00:44:28.000]   With that change, we started focusing within our tradition to the foundations of the power to create rules.
[00:44:28.000 --> 00:44:56.000]   You know, for a great period of time, sorry professor, the foundation of the power to create rules was believed to consist in something related to the supernatural.
[00:44:56.000 --> 00:45:08.000]   If we look at the European experience after the advent of the Christianity.
[00:45:08.000 --> 00:45:36.000]   So, after the destruction of the Roman Empire, and with the emergence of national states, ruled by kings and queens.
[00:45:36.000 --> 00:45:46.000]   We see that, the rule creation was the power of the king.
[00:45:46.000 --> 00:45:56.000]   And that power was based on the fact that the king has been appointed by God.
[00:45:56.000 --> 00:46:15.000]   That is to say, the legitimacy of the power of rule creation was believed to come from God.
[00:46:15.000 --> 00:46:28.000]   And that went on for centuries and centuries.
[00:46:28.000 --> 00:46:54.000]   Three centuries ago, the first revolutions, the American and the French revolutions, which changed our perception, regarding the foundation of creating rules.
[00:46:54.000 --> 00:47:14.000]   At some point in history, the reference to the Godness for identifying the foundation of creating rules was not enough.
[00:47:14.000 --> 00:47:17.000]   Oh, okay.
[00:47:17.000 --> 00:47:21.000]   Yes, Tomasso, you can talk.
[00:47:21.000 --> 00:47:23.000]   Do I have to do something?
[00:47:23.000 --> 00:47:29.000]   Someone was trying to ask you something and they also wrote something into the chat.
[00:47:29.000 --> 00:47:38.000]   I think you cannot hear us talking.
[00:47:38.000 --> 00:47:42.000]   Okay, Tomasso, you may talk.
[00:47:42.000 --> 00:47:44.000]   You can hear me.
[00:47:44.000 --> 00:47:48.000]   I don't hear you.
[00:47:48.000 --> 00:48:02.000]   I have a question.
[00:48:02.000 --> 00:48:13.000]   Well,
[00:48:13.000 --> 00:48:18.000]   thank you, thank you, Bruno's question is very interesting.
[00:48:18.000 --> 00:48:23.000]   Very complicated actually.
[00:48:23.000 --> 00:48:28.000]   Both, I would say both.
[00:48:28.000 --> 00:48:42.000]   I, well, the interaction between behavior, individual behavior within the historical framework framework I'm trying to describe is very complicated.
[00:48:42.000 --> 00:48:47.000]   Yes, I do believe that the law changes human behavior.
[00:48:47.000 --> 00:48:57.000]   But I also believe that the human behavior changes the law.
[00:48:57.000 --> 00:49:11.000]   But the main point I'm trying to make is a different one.
[00:49:11.000 --> 00:49:16.000]   How can I put it.
[00:49:16.000 --> 00:49:34.000]   Nowadays, and I'm talking about, you know, contemporary legal systems, those legal systems are really based on the assumption that the law is going to change human behavior.
[00:49:34.000 --> 00:49:54.000]   And I think about the pandemic and think about the action of governments during the pandemic, they are adopting very detailed rules on how each of us has to behave in every social context.
[00:49:54.000 --> 00:50:13.000]   And I really do believe that we are following those rules and we are changing our behavior to comply with these with those prescriptions.
[00:50:13.000 --> 00:50:23.000]   So, it is true that the law is a technology for shaping human behavior.
[00:50:23.000 --> 00:50:30.000]   Think to other
[00:50:30.000 --> 00:50:45.000]   think to other experiences, or other type of regulations. Think about for instance, to drugs regulation.
[00:50:45.000 --> 00:51:02.000]   And we have rules, which are created by legislators, which are not applied, or better, which are not abide with by individuals by many individuals.
[00:51:02.000 --> 00:51:14.000]   So, I believe that there is a misconception about the capability of the legal system to change human behavior.
[00:51:14.000 --> 00:51:34.000]   And at the same time, the law is just part of the process of the process of reshaping human behavior. There is a very interesting example I could, I could come up with the dual.
[00:51:34.000 --> 00:51:50.000]   I'm offending you. I'm insulting you and you respond by inviting me to a dual in order to solve with the blood, our controversy.
[00:51:50.000 --> 00:52:00.000]   Duals have been prohibited for centuries, but they were not eradicated from society.
[00:52:00.000 --> 00:52:15.000]   So, the law was trying to reshape a human behavior, which was perceived to be bad for society, but the law was not enough.
[00:52:15.000 --> 00:52:23.000]   When did we get rid of duals?
[00:52:23.000 --> 00:52:30.000]   When the social perception of the dual changed.
[00:52:30.000 --> 00:52:40.000]   If you were to invite me to a dual today, I would just start laughing. And everyone do probably.
[00:52:40.000 --> 00:52:50.000]   Because your action would be perceived as stupid, as socially unacceptable.
[00:52:50.000 --> 00:53:04.000]   The very same action, which a century ago instead, was far from being perceived as stupid and unacceptable.
[00:53:04.000 --> 00:53:16.000]   I probably will come back to that because there are lawyers who are talking about the so called social meaning of an action.
[00:53:16.000 --> 00:53:30.000]   Another example I would like to give you. When I was young, when I was a teenager, I had very little money.
[00:53:30.000 --> 00:53:37.000]   My other friends had very little money too, but we enjoy the music.
[00:53:37.000 --> 00:53:46.000]   And you know, LPs, we didn't have CDs at that time. LPs were very costly.
[00:53:46.000 --> 00:53:52.000]   And we couldn't afford it by a huge number of them, even though we wanted to.
[00:53:52.000 --> 00:53:58.000]   So, we created a sort of organization.
[00:53:58.000 --> 00:54:08.000]   A very informal organization actually. Probably a very illegal one too. So that everyone was buying an LP
[00:54:08.000 --> 00:54:17.000]   and was then recording on a cassette that LP for the remaining part of the group.
[00:54:17.000 --> 00:54:31.000]   And that way we could maximize our assets to music with the very limited resources we had.
[00:54:31.000 --> 00:54:38.000]   Well, you know, that very action was not by us, at least, perceived as being illegal.
[00:54:38.000 --> 00:54:43.000]   But how would you call it now? You would probably call it file sharing.
[00:54:43.000 --> 00:54:52.000]   And you know that there are regulations according to which file sharing is illegal. It's bad.
[00:54:52.000 --> 00:54:59.000]   And it's a half of inter-level property.
[00:54:59.000 --> 00:55:05.000]   Well, what's interesting is that, you know, the regulation didn't change so much.
[00:55:05.000 --> 00:55:22.000]   What we were doing at that time was illegal as what we, or what many of us are doing at this time by downloading and uploading copyrighted material is illegal.
[00:55:22.000 --> 00:55:28.000]   So, human behavior changes over time.
[00:55:28.000 --> 00:55:34.000]   Sometimes the law has to adapt to that change.
[00:55:34.000 --> 00:55:42.000]   Think about our perception of abortion.
[00:55:42.000 --> 00:55:52.000]   Abortion was perceived to be a crime until a few decades ago.
[00:55:52.000 --> 00:56:12.000]   But there was also a growing perception of the fact that the mother, the pregnant woman, has some rights over her body.
[00:56:12.000 --> 00:56:20.000]   And those rights are, you know, important must be protected.
[00:56:20.000 --> 00:56:38.000]   And then we came up with the idea that when there is a conflict between the rights of the mother and the rights of the unborn child, well, we need to find a solution.
[00:56:38.000 --> 00:56:50.000]   And the solution was to permit abortion within a given period of time of the pregnancy.
[00:56:50.000 --> 00:57:04.000]   In that case, the law has adapted to the new cultural perception of the problem.
[00:57:04.000 --> 00:57:32.000]   So as you see, even though I'm trying to simplify the problem by stating that there is a traditional way of perceiving the law as something which is created by constant repetition of a human behavior, in which case the law is, you know, like the law of nature.
[00:57:32.000 --> 00:57:38.000]   If I take that pen and I drop it, you know, it falls down.
[00:57:38.000 --> 00:57:45.000]   And if I keep repeating that, it keeps falling down.
[00:57:45.000 --> 00:57:58.000]   We call it the law of gravity, but no one prescribed a legal sense to the pen that when I drop it, he has to fall.
[00:57:58.000 --> 00:58:02.000]   So the first.
[00:58:02.000 --> 00:58:04.000]   I don't know what happened.
[00:58:04.000 --> 00:58:09.000]   I was.
[00:58:09.000 --> 00:58:14.000]   I was disconnected probably.
[00:58:14.000 --> 00:58:16.000]   I'm back.
[00:58:16.000 --> 00:58:19.000]   Okay.
[00:58:19.000 --> 00:58:22.000]   I lost your.
[00:58:22.000 --> 00:58:40.000]   Question, Bruno, but so I was trying to tell you that when I'm talking about the first conception of the law as a set of rules which are not created by discovered.
[00:58:40.000 --> 00:58:52.000]   I'm talking about the law as the law of nature's, you know, I hope you you heard my example of the law of gravity.
[00:58:52.000 --> 00:58:58.000]   If I drop my pen, the pen is going to fall down every time.
[00:58:58.000 --> 00:59:03.000]   But.
[00:59:03.000 --> 00:59:05.000]   But.
[00:59:05.000 --> 00:59:14.000]   Instead, when I'm talking about the law as technological tool for shaping human behavior.
[00:59:14.000 --> 00:59:23.000]   Well, that's that gets very complicated because how much is shapeable to human behavior.
[00:59:23.000 --> 00:59:25.000]   Not a very mass action.
[00:59:25.000 --> 00:59:28.000]   That's that's the point.
[00:59:28.000 --> 00:59:42.000]   And indeed, well for for for for Italian students, I can give you a very famous example about, you know, the man's only promise is policy.
[00:59:42.000 --> 01:00:03.000]   When the main character goes to the to a lawyer in order to find a solution for a problem he has and the lawyer started reading many different regulations, each one with a contradictory meaning.
[01:00:03.000 --> 01:00:07.000]   And we call them.
[01:00:07.000 --> 01:00:12.000]   Greed them and zone. Yeah.
[01:00:12.000 --> 01:00:18.000]   Greed could be translated with shouts. I don't know.
[01:00:18.000 --> 01:00:21.000]   People yelling. You have to do that.
[01:00:21.000 --> 01:00:23.000]   But nobody listened.
[01:00:23.000 --> 01:00:30.000]   So that that's that's a very commonplace.
[01:00:30.000 --> 01:00:34.000]   Okay.
[01:00:34.000 --> 01:00:42.000]   Let's go back to sharing the screen.
[01:00:42.000 --> 01:00:44.000]   There we go.
[01:00:44.000 --> 01:00:52.000]   So when we move away from the perception of the law.
[01:00:52.000 --> 01:00:58.000]   As a traditional body of rules.
[01:00:58.000 --> 01:01:12.000]   And we move towards the conception of the law as a technological tool for shaping human behavior.
[01:01:12.000 --> 01:01:23.000]   As I said, the problem of who is entitled to create the rules arises.
